iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
CHE,Europe,Switzerland,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,137.0,0.016,0.004,19.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-01-31,Switzerland,CHE,"Jan 31, 2020",0,2020-01-31
CHE,Europe,Switzerland,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,156.0,0.018,0.002,21.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-01,Switzerland,CHE,"Feb 1, 2020",0,2020-02-01
CHE,Europe,Switzerland,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,167.0,0.019,0.001,22.0,0.003,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-02,Switzerland,CHE,"Feb 2, 2020",0,2020-02-02
CHE,Europe,Switzerland,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,181.0,0.021,0.002,23.0,0.003,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-03,Switzerland,CHE,"Feb 3, 2020",0,2020-02-03
CHE,Europe,Switzerland,2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,207.0,0.024,0.003,24.0,0.003,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-04,Switzerland,CHE,"Feb 4, 2020",0,2020-02-04
CHE,Europe,Switzerland,2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,235.0,0.027,0.003,24.0,0.003,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-05,Switzerland,CHE,"Feb 5, 2020",0,2020-02-05
CHE,Europe,Switzerland,2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,248.0,0.029,0.002,20.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-06,Switzerland,CHE,"Feb 6, 2020",0,2020-02-06
CHE,Europe,Switzerland,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,263.0,0.03,0.002,18.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-07,Switzerland,CHE,"Feb 7, 2020",0,2020-02-07
CHE,Europe,Switzerland,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,270.0,0.031,0.001,16.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-08,Switzerland,CHE,"Feb 8, 2020",0,2020-02-08
CHE,Europe,Switzerland,2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,279.0,0.032,0.001,16.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-09,Switzerland,CHE,"Feb 9, 2020",0,2020-02-09
CHE,Europe,Switzerland,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,292.0,0.034,0.002,16.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-10,Switzerland,CHE,"Feb 10, 2020",0,2020-02-10
CHE,Europe,Switzerland,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,314.0,0.036,0.003,15.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-11,Switzerland,CHE,"Feb 11, 2020",0,2020-02-11
CHE,Europe,Switzerland,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,334.0,0.039,0.002,14.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-12,Switzerland,CHE,"Feb 12, 2020",0,2020-02-12
CHE,Europe,Switzerland,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,341.0,0.039,0.001,13.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-13,Switzerland,CHE,"Feb 13, 2020",0,2020-02-13
CHE,Europe,Switzerland,2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,350.0,0.04,0.001,12.0,0.001,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-14,Switzerland,CHE,"Feb 14, 2020",0,2020-02-14
CHE,Europe,Switzerland,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,355.0,0.041,0.001,12.0,0.001,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-15,Switzerland,CHE,"Feb 15, 2020",0,2020-02-15
CHE,Europe,Switzerland,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,360.0,0.042,0.001,12.0,0.001,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-16,Switzerland,CHE,"Feb 16, 2020",0,2020-02-16
CHE,Europe,Switzerland,2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,369.0,0.043,0.001,8.0,0.001,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-18,Switzerland,CHE,"Feb 18, 2020",0,2020-02-18
CHE,Europe,Switzerland,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,383.0,0.044,0.002,7.0,0.001,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-19,Switzerland,CHE,"Feb 19, 2020",0,2020-02-19
CHE,Europe,Switzerland,2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,393.0,0.045,0.001,7.0,0.001,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-20,Switzerland,CHE,"Feb 20, 2020",0,2020-02-20
CHE,Europe,Switzerland,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,407.0,0.047,0.002,8.0,0.001,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-21,Switzerland,CHE,"Feb 21, 2020",0,2020-02-21
CHE,Europe,Switzerland,2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,409.0,0.047,0.0,8.0,0.001,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-22,Switzerland,CHE,"Feb 22, 2020",0,2020-02-22
CHE,Europe,Switzerland,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,414.0,0.048,0.001,8.0,0.001,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-23,Switzerland,CHE,"Feb 23, 2020",0,2020-02-23
CHE,Europe,Switzerland,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,462.0,0.053,0.006,14.0,0.002,0.0,tests performed,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-24,Switzerland,CHE,"Feb 24, 2020",0,2020-02-24
CHE,Europe,Switzerland,2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,632.0,0.073,0.02,38.0,0.004,0.0,tests performed,8.33,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-25,Switzerland,CHE,"Feb 25, 2020",0,2020-02-25
CHE,Europe,Switzerland,2020-02-26,1.0,1.0,0.0,0.0,0.116,0.116,0.0,0.0,317.0,949.0,0.11,0.037,81.0,0.009,0.002,tests performed,8.33,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-26,Switzerland,CHE,"Feb 26, 2020",0,2020-02-26
CHE,Europe,Switzerland,2020-02-27,1.0,0.0,0.0,0.0,0.116,0.0,0.0,0.0,279.0,1228.0,0.142,0.032,119.0,0.014,0.001,tests performed,13.89,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-27,Switzerland,CHE,"Feb 27, 2020",0,2020-02-27
CHE,Europe,Switzerland,2020-02-28,8.0,7.0,0.0,0.0,0.924,0.809,0.0,0.0,450.0,1678.0,0.194,0.052,182.0,0.021,0.006,tests performed,19.44,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-28,Switzerland,CHE,"Feb 28, 2020",0,2020-02-28
CHE,Europe,Switzerland,2020-02-29,12.0,4.0,0.0,0.0,1.387,0.462,0.0,0.0,258.0,1936.0,0.224,0.03,218.0,0.025,0.008,tests performed,19.44,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-02-29,Switzerland,CHE,"Feb 29, 2020",0,2020-02-29
CHE,Europe,Switzerland,2020-03-01,18.0,6.0,0.0,0.0,2.08,0.693,0.0,0.0,373.0,2309.0,0.267,0.043,271.0,0.031,0.009000000000000001,tests performed,19.44,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-03-01,Switzerland,CHE,"Mar 1, 2020",0,2020-03-01
CHE,Europe,Switzerland,2020-03-02,24.0,6.0,0.0,0.0,2.773,0.693,0.0,0.0,478.0,2787.0,0.322,0.055,332.0,0.038,0.01,tests performed,19.44,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-03-02,Switzerland,CHE,"Mar 2, 2020",0,2020-03-02
CHE,Europe,Switzerland,2020-03-03,30.0,6.0,0.0,0.0,3.466,0.693,0.0,0.0,716.0,3503.0,0.405,0.083,410.0,0.047,0.01,tests performed,25.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-03-03,Switzerland,CHE,"Mar 3, 2020",0,2020-03-03
CHE,Europe,Switzerland,2020-03-04,37.0,7.0,0.0,0.0,4.275,0.809,0.0,0.0,592.0,4095.0,0.473,0.068,449.0,0.052,0.011000000000000001,tests performed,25.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-03-04,Switzerland,CHE,"Mar 4, 2020",0,2020-03-04
CHE,Europe,Switzerland,2020-03-05,57.0,20.0,0.0,0.0,6.586,2.311,0.0,0.0,587.0,4682.0,0.541,0.068,493.0,0.057,0.016,tests performed,25.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-03-05,Switzerland,CHE,"Mar 5, 2020",0,2020-03-05
CHE,Europe,Switzerland,2020-03-06,87.0,30.0,1.0,1.0,10.052,3.466,0.116,0.116,957.0,5639.0,0.652,0.111,566.0,0.065,0.02,tests performed,25.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-03-06,Switzerland,CHE,"Mar 6, 2020",0,2020-03-06
CHE,Europe,Switzerland,2020-03-07,209.0,122.0,1.0,0.0,24.149,14.097,0.116,0.0,727.0,6366.0,0.736,0.084,633.0,0.073,0.044000000000000004,tests performed,25.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-03-07,Switzerland,CHE,"Mar 7, 2020",0,2020-03-07
CHE,Europe,Switzerland,2020-03-08,264.0,55.0,1.0,0.0,30.504,6.355,0.116,0.0,744.0,7110.0,0.822,0.086,686.0,0.079,0.051,tests performed,25.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-03-08,Switzerland,CHE,"Mar 8, 2020",0,2020-03-08
CHE,Europe,Switzerland,2020-03-09,332.0,68.0,2.0,1.0,38.361,7.857,0.231,0.116,1631.0,8741.0,1.01,0.188,851.0,0.098,0.052000000000000005,tests performed,25.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,83.78,2020-03-09,Switzerland,CHE,"Mar 9, 2020",0,2020-03-09
